,n,ComputationalGrid.DX,ComputationalGrid.DY,Geom.domain.ICPressure.Value,Patch.x-lower.BCPressure.alltime.Value,Patch.x-upper.BCPressure.alltime.Value,Patch.y-lower.BCPressure.alltime.Value,Patch.y-upper.BCPressure.alltime.Value,ComputationalGrid.NZ,Patch.z-upper.BCPressure.rain.Value,Contaminants.Names,Wells.Names,ComputationalGrid.DZ,Geom.domain.Upper.X,Geom.domain.Upper.Y,Mal_Qo,Mal_Qf,Mal_a,Bous_Qo,Bous_Qf,Bous_a,Cou_Qo,Cou_Qf,Cou_a,Cou_b,Mal_MSE,Mal_RMSE,Mal_Rsq,Bous_MSE,Bous_RMSE,Bous_Rsq,Cou_MSE,Cou_RMSE,Cou_Rsq
0,7807,10,10,5.0,5.0,5.0,5.0,5.0,100,-0.45879709999999996,,,0.1,10,10.0,2.5014761934187284,2.486168267320436,1.0374911752592326,2.501561993789549,2.486139035017561,0.8300473724333991,2.492428609277263,2.4861130030012077,0.24452269376694155,0.9755837872184012,2.531914660443066e-10,1.5911991265844338e-05,0.999857232705438,1.7001777909285072e-08,0.0001303908658966765,0.990413192542498,6.555022106804911e-07,0.0008096309101562829,0.6314088260600716
1,7651,100,100,0.0,0.0,0.0,0.0,0.0,100,-0.1637021,,,0.1,100,100.0,2.504883608868376,2.504882578513256,3.1605987928377766,2.504883608863947,2.5048825783253066,4.101530504745231,,,,,1.5017267477820462e-22,1.2254496104622363e-11,0.9999999788063224,1.1452387610302147e-18,1.0701582878388668e-09,0.9998383739168224,,,
2,3334,100,100,5.0,5.0,5.0,5.0,5.0,100,-0.1295425,,,0.1,100,100.0,2.504613833073602,2.4863285484131965,0.061482811255557275,2.5060287566562347,2.485555275526658,0.043026192968283236,2.505414914413934,2.4860288322200983,0.19387485886882244,1.2448221231816028,4.732901503985337e-08,0.00021755232713040182,0.9968876038829972,3.4281588416196484e-08,0.00018515287849827364,0.9977456137090236,1.0847113895683088e-08,0.00010414947861455232,0.9992866846026442
3,108,10,10,7.5,7.5,7.5,7.5,7.5,100,-0.09590950000000001,,,0.1,10,10.0,2.5037070289880434,2.4997156436350862,0.6487217432275183,2.503635443147974,2.4997005800096552,0.4647039562616331,2.502596441170172,2.499706916956608,0.3557298178873657,0.9828456627700126,1.677178507627726e-08,0.00012950592679980812,0.8956582906088638,2.4603198891072128e-08,0.0001568540687743615,0.8469369946544542,2.9443828348828278e-08,0.00017159204045884028,0.81704913246455
4,6914,1,1,10.0,10.0,10.0,10.0,10.0,10,-0.38669840000000005,,,1.0,1,1.0,2.5048455623123456,2.504845556907365,0.05102388254639585,2.5048455620595487,2.5048455568055226,0.03804704433413901,2.5048455638482587,2.5048455574432498,0.04620996651871117,1.0008196988293383,4.4681218364794976e-17,6.684401122374014e-09,0.007417511325924053,4.446514312189813e-17,6.668218886771649e-09,0.011878953984117755,4.578659854841999e-17,6.7665795309314134e-09,-0.00020272981757862849
5,4044,10,10,10.0,10.0,10.0,10.0,10.0,100,-0.08082339999999999,,,0.1,10,10.0,2.5048829938890464,2.504882585658722,3.97272573401416,2.5048826736386736,2.504882583912647,0.09731138029974648,2.5048826430704114,2.5048825908810177,0.04452293472965648,0.9958266627777372,2.443334982540728e-15,4.9430101987966077e-08,0.1837788886810384,2.8825644781340237e-15,5.3689519257803234e-08,0.0370498889332429,3.0491486183793907e-15,5.521909650093336e-08,0.0003662592570748968
6,2616,100,100,10.0,10.0,10.0,10.0,10.0,10,-0.049494199999999995,,,1.0,100,100.0,2.5044521204353694,2.5044210461563545,2.4996130110430754,2.5044521249234184,2.5044210409209944,2.7503140032162015,2.5044305831071143,2.504420999358034,0.26269537424367595,0.990724886644082,1.6696689388995422e-13,4.0861582677369976e-07,0.9505062441051481,1.6916413032393846e-13,4.112956726297257e-07,0.9498549204824109,1.973905931820028e-12,1.4049576263432386e-06,0.415235486710815
7,3204,1,1,2.5,2.5,2.5,2.5,2.5,100,-0.23882840000000002,,,0.1,1,1.0,2.4658166400643693,2.462317168182378,3.855107560564648,2.4658166510862767,2.4623168748914352,6.232520693051478,2.463402665257332,2.4623052188632104,0.2374361686179067,0.9758810693411024,2.051236242726454e-18,1.432213755947922e-09,0.999999999974878,3.275258458355612e-12,1.8097675150017508e-06,0.9999598871394664,4.853562740817834e-08,0.00022030802846963692,0.40607289877820063
8,7105,1000,1000,2.5,2.5,2.5,2.5,2.5,10,-0.405791,,,1.0,1000,1000.0,2.5046749045472656,2.481860822978823,0.0013191480365474255,2.5046745913295583,2.4711605844399376,0.0004490678661864068,11.112520009242331,10.672377897457967,43.96078040497077,0.39831551137803584,2.5825743882945132e-09,5.081903568835711e-05,0.9981347025606252,2.5922476022064746e-09,5.091411987068493e-05,0.998127715959164,1.77429328974629e-08,-4.836084195321104e-10,-4.4438988799265717e-08
9,5773,1,1,5.0,5.0,5.0,5.0,5.0,1000,-0.2133451,,,0.01,1,1.0,2.488566463302043,2.48616518668881,0.685109529846041,2.4885084085863203,2.486156577944585,0.4859050842020363,2.48787778802741,2.4861606057804417,0.3776168082627368,0.9839742300000498,9.210974179449641e-09,9.597382028162492e-05,0.8457174609618108,1.2221707585706755e-08,0.00011055183212279548,0.7952880942916939,1.3885277011703011e-08,0.00011783580530425805,0.7676645247665335
10,1921,10,10,0.0,0.0,0.0,0.0,0.0,100,-0.16174539999999998,,,0.1,10,10.0,2.4865478611597123,2.4274389963560306,0.5666627998765519,2.488152174000606,2.4272043281415563,0.4386960767961019,2.4616876361385405,2.427134345766206,0.20095595537506855,0.9696425915995799,1.61891773414043e-08,0.0001272366980921947,0.9995204388274636,3.16831717945323e-07,0.0005628780666763655,0.9906147059266556,6.289804032228054e-06,0.002507948171758749,0.8139225394184602
11,4651,1,1,2.5,2.5,2.5,2.5,2.5,10,-0.052287099999999996,,,1.0,1,1.0,2.4634681962504628,2.4624172240117206,3.874134525515793,2.463468199413102,2.462417137674662,6.300712050040426,2.462743531121469,2.4624139223369883,0.26901059015773443,0.9788105029235578,9.770656807197372e-20,3.1258049854713224e-10,0.9999999999867324,2.8404411209731897e-13,5.32957889609788e-07,0.9999614298610258,4.235704344975095e-09,6.508228902685503e-05,0.4257167754351432
12,3596,100,100,5.0,5.0,5.0,5.0,5.0,1000,-0.23923920000000004,,,0.01,100,100.0,2.496801740573723,2.4623176348331146,0.8499737359386125,2.497110128779674,2.462230072611586,0.6607228188563393,2.475827240809497,2.4621854092265707,0.2285354805842949,0.973606515144656,7.490032475734698e-09,8.654497371733784e-05,0.99922051740712,1.1661479763816831e-07,0.0003414890886077743,0.9878639772089576,3.4515959530231703e-06,0.0018578471285396895,0.6428406399464408
13,3083,1000,1000,2.5,2.5,2.5,2.5,2.5,10,-0.2652368,,,1.0,1000,1000.0,2.50467229318441,2.4821783523077023,0.0013400170005543818,2.504671995152356,2.471650201218341,0.00045649385668109757,11.096381264431928,10.672373366963377,40.07518884729525,0.3982454854411962,2.547523067394236e-09,5.04729934459433e-05,0.9981601947707928,2.55737351121649e-09,5.057048063066526e-05,0.9981530808411494,6.782574230989462e-10,-5.417765386436704e-10,-2.5614067740436933e-08
14,3806,100,100,0.0,0.0,0.0,0.0,0.0,10,-0.08517000000000001,,,1.0,100,100.0,2.4998725555209598,2.436376753992486,0.025811548996812008,2.502614200172578,2.429524399184487,0.014619216726345313,2.5054364924637658,2.406740903482413,1.9609597236989869,2.8023691718768045,1.583546405897681e-06,0.001258390402815311,0.9941625618589036,4.414750198295595e-07,0.0006644358658512945,0.9983725875607457,3.7719270332857513e-08,0.00019421449568159812,0.9998609551911612
15,5936,1000,1000,2.5,2.5,2.5,2.5,2.5,10,-0.207866,,,1.0,1000,1000.0,2.504670823321673,2.4823818341292885,0.001353748489131392,2.5046705335829293,2.471963086409348,0.0004613734074531824,11.08587497128097,10.672371227803817,37.290114857847406,0.3982125209162376,2.522713020092779e-09,5.022661664986782e-05,0.9981782748299078,2.5326751358684643e-09,5.032569061491818e-05,0.9981710808934836,2.744282438194522e-08,-1.6567644825493663e-11,-3.905963345997169e-08
16,1085,1,1,0.0,0.0,0.0,0.0,0.0,1000,-0.1339406,,,0.01,1,1.0,2.4305279986064594,2.427421220750376,3.5251147093405555,2.430528021934512,2.4274208522355014,5.148451127598446,2.4283296677287147,2.427410924973703,0.2411900416028212,0.9762972329184678,3.586632693025958e-18,1.893840725358381e-09,0.999999999944284,5.061120690816224e-12,2.249693465967358e-06,0.9999213790234124,3.86348716065749e-08,0.0001965575529115452,0.4006828876799069
17,4631,1,1,7.5,7.5,7.5,7.5,7.5,10,-0.11531559999999999,,,1.0,1,1.0,2.5005713460831935,2.4998041508577344,0.6880925318051097,2.500552657110572,2.4998014128845507,0.4879708845622118,2.5001316032746908,2.4998014599247336,0.16830281717596654,0.9689684336639536,9.528400790083016e-10,3.086810779766557e-05,0.8437150116094508,1.2600463228548647e-09,3.5497131191898656e-05,0.7933269923491424,2.803915653945529e-09,5.295201274687799e-05,0.5407197243599178
